Date,Variable,Value
01/12/2024,KBP1132M,8195686
01/12/2024,KBP1166M,4429192
01/12/2024,KBP1347M,4817554
01/12/2024,KBP1486M,11.25
01/01/2025,KBP1008M,488439
01/01/2025,KBP1123M,202992
01/01/2025,KBP1132M,8194210
01/01/2025,KBP1166M,4411492
01/01/2025,KBP1347M,4804809
01/01/2025,KBP1486M,11
01/02/2025,KBP1008M,488338
01/02/2025,KBP1123M,204756
01/02/2025,KBP1132M,8120105
01/02/2025,KBP1166M,4445081
01/02/2025,KBP1347M,4804934
01/02/2025,KBP1486M,11
01/03/2025,KBP1008M,485762
01/03/2025,KBP1123M,205609
01/03/2025,KBP1132M,8235960
01/03/2025,KBP1166M,4528699
01/03/2025,KBP1347M,4893082
01/03/2025,KBP1486M,11
01/04/2025,KBP1008M,468878
01/04/2025,KBP1123M,207911
01/04/2025,KBP1132M,8301704
01/04/2025,KBP1166M,4507184
01/04/2025,KBP1347M,4878857
01/04/2025,KBP1486M,11
01/05/2025,KBP1008M,467258
01/05/2025,KBP1123M,206484
01/05/2025,KBP1132M,8330614
01/05/2025,KBP1166M,4534180
01/05/2025,KBP1347M,4907567
01/05/2025,KBP1486M,10.75
01/06/2025,KBP1008M,470766
01/06/2025,KBP1123M,204475
01/06/2025,KBP1132M,8447025
01/06/2025,KBP1166M,4595526
01/06/2025,KBP1347M,4973871
01/06/2025,KBP1486M,10.75
01/07/2025,KBP1008M,488416
01/07/2025,KBP1123M,204171
01/07/2025,KBP1132M,8431129
01/07/2025,KBP1166M,4605806
01/07/2025,KBP1347M,4983603
01/07/2025,KBP1486M,10.75
01/08/2025,KBP1008M,493737
01/08/2025,KBP1123M,204171
01/08/2025,KBP1132M,8541189
01/08/2025,KBP1166M,4652007
01/08/2025,KBP1347M,5053194
01/08/2025,KBP1486M,10.5
01/09/2025,KBP1008M,451563
01/09/2025,KBP1123M,201108
01/09/2025,KBP1132M,8728382
01/09/2025,KBP1166M,4702661
01/09/2025,KBP1347M,5121683
01/09/2025,KBP1486M,10.5
01/10/2025,KBP1008M,467202
01/10/2025,KBP1123M,201020
01/10/2025,KBP1132M,8767973
01/10/2025,KBP1166M,4704035
01/10/2025,KBP1347M,5124590
01/10/2025,KBP1486M,10.5
01/11/2025,KBP1008M,465455
01/11/2025,KBP1123M,200307
01/11/2025,KBP1132M,8939835
01/11/2025,KBP1166M,4741878
01/11/2025,KBP1347M,5163796
01/11/2025,KBP1486M,10.25
01/12/2025,KBP1008M,535755
01/12/2025,KBP1123M,199750
01/12/2025,KBP1132M,8967981
01/12/2025,KBP1166M,4778882
01/12/2025,KBP1347M,5238516
01/12/2025,KBP1486M,10.25
01/01/2026,KBP1008M,550455
